,Unnamed: 0,Event,Time,Port,Vessel,VesselType
235,235,Arrival,2019-12-08 15:26,SINGAPORE,NOBLE PEARL [SG],tug
236,236,Arrival,2019-12-08 15:26,KEY WEST,M/V RHAPSODY OTS [US],passenger
237,237,Arrival,2019-12-08 15:26,CHEK LAP KOK,WANG HUNG 3127 [CN],cargo
238,238,Arrival,2019-12-08 15:25,HEMIKSEM,SMYLTINE [BE],passenger
239,239,Arrival,2019-12-08 15:25,SCHIEDAM,MSTX 9 [NL],high speed
240,240,Departure,2019-12-08 15:25,BRAKE,KLEINENSIEL [DE],passenger
241,241,Arrival,2019-12-08 15:25,PYEONGTAEK,DAEJOO ARIRANG 2 [KR],cargo
242,242,Arrival,2019-12-08 15:25,KNAPPSKOG,FJELLGAR [NO],passenger
243,243,Arrival,2019-12-08 15:25,GEORGETOWN,SKANDI FOULA [GY],tug
244,244,Arrival,2019-12-08 15:25,QINZHOU,XIN HONG XIANG 77 [CN],cargo
245,245,Departure,2019-12-08 15:25,REYKJAVIK,JOTUNN [IS],tug
246,246,Arrival,2019-12-08 15:25,BRUNSBUETTEL,FAEHRE STETTIN [DE],passenger
247,247,Departure,2019-12-08 15:25,DELFZIJL,GALACTICA [NL],undefined
248,248,Arrival,2019-12-08 15:25,BAIE COMEAU,ALGOMA HARVESTER [CA],cargo
249,249,Arrival,2019-12-08 15:25,HONG KONG,FIRST FERRY VII [HK],high speed
250,250,Departure,2019-12-08 15:25,SINGAPORE,STAR COMMODORE TG88 [SG],tug
251,251,Arrival,2019-12-08 15:25,AGIOI THEODORI,PAVLOS [GR],tug
252,252,Departure,2019-12-08 15:25,AMSTERDAM,NORDIC SOLA [NL],tanker
253,253,Arrival,2019-12-08 15:25,BODOE,ELSA LAULA RENBERG [NO],high speed
254,254,Departure,2019-12-08 15:25,ROTTERDAM,SONORA [NL],tanker
255,255,Arrival,2019-12-08 15:25,LOEDINGEN,BAROY [NO],passenger
256,256,Departure,2019-12-08 15:25,PIRAEUS,NIREAS K [GR],tanker
257,257,Arrival,2019-12-08 15:25,HJELMELAND,HJELMELAND [NO],passenger
258,258,Arrival,2019-12-08 15:25,RODBYHAVN,DEUTSCHLAND [DK],passenger
